ORF	Length
YAL001C	3483
YAL002W	3825
YAL003W	621
YAL005C	1929
YAL007C	648
YAL008W	597
YAL009W	780
YAL010C	1482
YAL011W	1878
YAL012W	1185
YAL013W	1218
YAL014C	768
YAL015C	1200
YAL016W	1908
YAL017W	4071
YAL018C	978
YAL019W	3396
YAL020C	1002
YAL021C	2514
YAL022C	1554
YAL023C	2280
YAL024C	4308
YAL025C	921
YAL026C	4068
YAL027W	786
YAL028W	1587
YAL029C	4416
YAL030W	354
YAL031C	2283
YAL032C	1140
YAL033W	522
YAL034C	1242
YAL034W-A	870
YAL035W	3009
YAL036C	1110
YAL037C-A	93
YAL037W	804
YAL038W	1503
YAL039C	810
YAL040C	1743
YAL041W	2565
YAL042W	1248
YAL043C	2358
YAL044C	513
YAL044W-A	333
YAL046C	357
YAL047C	1869
YAL048C	1989
YAL049C	741
YAL051W	3144
YAL053W	2352
YAL054C	2142
YAL055W	543
YAL056W	2643
YAL058W	1509
YAL059W	639
YAL060W	1149
YAL061W	1254
YAL062W	1374
YAL063C	3969
YAL063C-A	291
YAL064C-A	381
YAL064W	285
YAL064W-B	381
YAL065C	387
YAL067C	1782
YAL067W-A	228
YAL068C	363
YAR002C-A	660
YAR002W	1620
YAR003W	1281
YAR007C	1866
YAR008W	828
YAR014C	2130
YAR015W	921
YAR018C	1308
YAR019C	2925
YAR020C	168
YAR023C	540
YAR027W	708
YAR028W	705
YAR029W	225
YAR031W	897
YAR033W	705
YAR035C-A	81
YAR035W	2064
YAR042W	3567
YAR050W	4614
YAR061W	1006
YAR064W	300
YAR066W	612
YAR068W	486
YAR071W	1404
YBL001C	315
YBL002W	396
YBL003C	399
YBL004W	7482
YBL005W	2931
YBL006C	543
YBL007C	3735
YBL008W	2523
YBL008W-A	240
YBL009W	2031
YBL010C	843
YBL011W	2280
YBL013W	1206
YBL014C	2685
YBL015W	1581
YBL016W	1062
YBL017C	4740
YBL018C	402
YBL019W	1563
YBL020W	1725
YBL021C	435
YBL022C	3402
YBL023C	2607
YBL024W	2055
YBL025W	438
YBL026W	288
YBL027W	570
YBL028C	321
YBL029C-A	285
YBL029W	1131
YBL030C	957
YBL031W	1017
YBL032W	1146
YBL033C	1038
YBL034C	4542
YBL035C	2118
YBL036C	774
YBL037W	3078
YBL038W	699
YBL039C	1740
YBL039W-B	180
YBL040C	660
YBL041W	726
YBL042C	1920
YBL043W	774
YBL044W	369
YBL045C	1374
YBL046W	1326
YBL047C	4146
YBL049W	417
YBL050W	879
YBL051C	2007
YBL052C	2496
YBL054W	1578
YBL055C	1257
YBL056W	1407
YBL057C	627
YBL058W	1272
YBL059C-A	330
